x,y,label
-0.9045785805048968,2.8996559022787687,1
-0.9353252594077024,2.8406249521285014,1
-0.9047473977277787,2.857060678184695,1
-0.8106253964027781,2.9511826795096954,1
-0.8694792854718809,2.8499023835694004,1
-0.8522623122259217,2.838835085567898,1
-0.9527180249046823,2.7242372372654073,1
-0.7500496211910723,2.9127635053552865,1
-0.7313119002246797,2.9315012263216786,1
-0.9743654686321199,2.6884476579142387,1
-0.9408641320033273,2.69366472329557,1
-0.628137510725117,2.9781070733263193,1
-0.6691482779946418,2.9088120348093334,1
-0.6328670904915041,2.9450932223124706,1
-0.6199143665233386,2.9439038106569058,1
-0.6986888179969275,2.8227029523121248,1
-0.8915083153797781,2.6157413193055437,1
-0.6613056386674661,2.8176597247703943,1
-0.5785170815078708,2.8721640106825284,1
-0.616416536129923,2.8201224204367454,1
-0.5246630187846195,2.897733802158318,1
-0.718525893981909,2.7038709269610286,1
-0.9908643119521721,2.4173903733670348,1
-0.5341889466044525,2.8740657387147546,1
-0.6571522206276366,2.708676057820379,1
-0.4538839627449607,2.911944315703055,1
-0.6462300772970648,2.70545606552722,1
-0.6749139825496122,2.6767721602746724,1
-0.39960237203947213,2.9520837707848124,1
-0.6760609805872786,2.661483026613275,1
-0.5310330771341731,2.7782266588189195,1
-0.5287214700372176,2.7663961302921445,1
-0.7213195766911209,2.5596558880145106,1
-0.7872885651501775,2.493686899555454,1
-0.7178941769710674,2.563081287734564,1
-0.5490881448121043,2.7177451842697966,1
-0.735061435842935,2.5034876219915043,1
-0.8695551791438022,2.3689938786906373,1
-0.5380998113981481,2.6863071108125607,1
-0.5273658435956823,2.6828989429912955,1
-0.7169026665549749,2.4933621200320033,1
-0.5093835397476345,2.7008812468393435,1
-0.7781799237816356,2.403800591557881,1
-0.7208865938014589,2.4469517859143273,1
-0.44449204747424886,2.7092041966178066,1
-0.6833959410593989,2.4703003030326567,1
-0.25770878609019277,2.895987458001863,1
-0.6845428804763756,2.440869092368219,1
-0.6231365582114752,2.502275414633119,1
-0.2674724736492857,2.8437973635715776,1
-0.32842045026324707,2.7687072513338857,1
-0.36101522300708466,2.7219703429663173,1
-0.42578739857003534,2.6430560317796363,1
-0.8278366876566418,2.212722471445568,1
-0.8458345810201988,2.1947245780820115,1
-0.4907951436623197,2.5356218798161594,1
-0.212263114947846,2.8141539085306335,1
-0.9318121991946356,2.080462688660113,1
-0.5654448860189705,2.4468300018357785,1
-0.38423764981611974,2.599752966791168,1
-0.9122502987599114,2.071740317847376,1
-0.2829690015604427,2.686879479423115,1
-0.16064408411229802,2.8092043968712592,1
-0.48416050864186966,2.4715458367179566,1
-0.7509141214748409,2.1906500882612545,1
-0.8048695634316233,2.1366946463044725,1
-0.4423313474699704,2.4992328622661253,1
-0.5420677626177427,2.371212175870892,1
-0.37654224106256273,2.5084534261786104,1
-0.13652585251548133,2.734327679101961,1
0.1159004808098203,2.9867540124272627,1
-0.6666230833420471,2.2042304482753954,1
